Fecha,Producto bruto interno (millones US$) - PBI (millones US$),fecha_carga
T117,50525,2025-11-27
T217,54231,2025-11-27
T317,56267,2025-11-27
T417,58711,2025-11-27
T118,54393,2025-11-27
T218,58686,2025-11-27
T318,57255,2025-11-27
T418,59553,2025-11-27
T119,54629,2025-11-27
T219,59592,2025-11-27
T319,59985,2025-11-27
T419,62311,2025-11-27
T120,53020,2025-11-27
T220,41524,2025-11-27
T320,53987,2025-11-27
T420,61192,2025-11-27
T121,55168,2025-11-27
T221,57264,2025-11-27
T321,56770,2025-11-27
T421,60695,2025-11-27
T122,57566,2025-11-27
T222,62187,2025-11-27
T322,62047,2025-11-27
T422,66746,2025-11-27
T123,61671,2025-11-27
T223,68021,2025-11-27
T323,70248,2025-11-27
T423,72555,2025-11-27
T124,66444,2025-11-27
T224,73455,2025-11-27
T324,75900,2025-11-27
T424,80100,2025-11-27
T125,74261,2025-11-27
T225,81094,2025-11-27
T325,86716,2025-11-27
T194,9473,2025-11-28
T294,10607,2025-11-28
T394,10668,2025-11-28
T494,11972,2025-11-28
T195,12096,2025-11-28
T295,13191,2025-11-28
T395,13040,2025-11-28
T495,13080,2025-11-28
T196,12761,2025-11-28
T296,13973,2025-11-28
T396,13259,2025-11-28
T496,13419,2025-11-28
T197,12964,2025-11-28
T297,14645,2025-11-28
T397,14303,2025-11-28
T497,14391,2025-11-28
T198,13660,2025-11-28
T298,14407,2025-11-28
T398,13381,2025-11-28
T498,12584,2025-11-28
T199,11570,2025-11-28
T299,12667,2025-11-28
T399,11934,2025-11-28
T499,12554,2025-11-28
T100,12431,2025-11-28
T200,13242,2025-11-28
T300,12428,2025-11-28
T400,12331,2025-11-28
T101,11854,2025-11-28
T201,13160,2025-11-28
T301,12743,2025-11-28
T401,13292,2025-11-28
T102,12765,2025-11-28
T202,14499,2025-11-28
T302,12987,2025-11-28
T402,13738,2025-11-28
T103,13787,2025-11-28
T203,15496,2025-11-28
T303,14335,2025-11-28
T403,14928,2025-11-28
T104,15233,2025-11-28
T204,17316,2025-11-28
T304,16045,2025-11-28
T404,17561,2025-11-28
T105,17283,2025-11-28
T205,19655,2025-11-28
T305,18248,2025-11-28
T405,19055,2025-11-28
T106,19607,2025-11-28
T206,22585,2025-11-28
T306,22112,2025-11-28
T406,23263,2025-11-28
T107,23004,2025-11-28
T207,25423,2025-11-28
T307,25613,2025-11-28
T407,28347,2025-11-28
T108,28393,2025-11-28
T208,32426,2025-11-28
T308,31074,2025-11-28
T408,29231,2025-11-28
T109,26497,2025-11-28
T209,30251,2025-11-28
T309,31319,2025-11-28
T409,34627,2025-11-28
T110,33322,2025-11-28
T210,37346,2025-11-28
T310,38148,2025-11-28
T410,40567,2025-11-28
T111,39062,2025-11-28
T211,42338,2025-11-28
T311,43731,2025-11-28
T411,45679,2025-11-28
T112,44197,2025-11-28
T212,47455,2025-11-28
T312,49457,2025-11-28
T412,52127,2025-11-28
T113,49240,2025-11-28
T213,51359,2025-11-28
T313,50034,2025-11-28
T413,52454,2025-11-28
T114,48217,2025-11-28
T214,51385,2025-11-28
T314,52176,2025-11-28
T414,52455,2025-11-28
T115,46546,2025-11-28
T215,49124,2025-11-28
T315,48654,2025-11-28
T415,50092,2025-11-28
T116,45249,2025-11-28
T216,50066,2025-11-28
T316,51108,2025-11-28
T416,52793,2025-11-28
T117,50525,2025-11-28
T217,54231,2025-11-28
T317,56267,2025-11-28
T417,58711,2025-11-28
T118,54393,2025-11-28
T218,58686,2025-11-28
T318,57255,2025-11-28
T418,59553,2025-11-28
T119,54629,2025-11-28
T219,59592,2025-11-28
T319,59985,2025-11-28
T419,62311,2025-11-28
T120,53020,2025-11-28
T220,41524,2025-11-28
T320,53987,2025-11-28
T420,61192,2025-11-28
T121,55168,2025-11-28
T221,57264,2025-11-28
T321,56770,2025-11-28
T421,60695,2025-11-28
T122,57566,2025-11-28
T222,62187,2025-11-28
T322,62047,2025-11-28
T422,66746,2025-11-28
T123,61671,2025-11-28
T223,68021,2025-11-28
T323,70248,2025-11-28
T423,72555,2025-11-28
T124,66444,2025-11-28
