Calendar,GMT,Reference,Reference.1,Actual,Previous,Consensus,TEForecast,fecha_carga
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-07
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-07
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-08
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-08
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-08
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-09
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-09
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-09
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-10
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-10
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-10
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-11
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-11
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-11
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-12
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-12
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-12
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-13
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-13
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-13
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-14
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-14
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-14
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-15
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-15
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-15
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-16
2025-08-01,11:00 AM,Inflation Rate YoY,Jul,1.69%,1.69%,,1.8%,2025-08-16
2025-09-01,09:00 AM,Inflation Rate YoY,Aug,,1.69%,,1.8%,2025-08-16
2025-07-01,07:30 AM,Inflation Rate YoY,Jun,1.70%,1.69%,,1.7%,2025-08-17
