Related,Last,Previous,Unit,Reference,fecha_carga
CPI Transportation,113.2,113.56,points,May 2025,2025-06-30
Inflation Rate YoY,1.69,1.65,percent,May 2025,2025-06-30
Inflation Rate MoM,-0.06,0.32,percent,May 2025,2025-06-30
Producer Prices,130.21,130.73,points,May 2025,2025-06-30
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-01
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-01
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-01
CPI Housing Utilities,104.03,104.22,points,May 2025,2025-07-01
CPI Transportation,113.2,113.56,points,May 2025,2025-07-01
Inflation Rate YoY,1.7,1.69,percent,Jun 2025,2025-07-01
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-01
Producer Prices,130.21,130.73,points,May 2025,2025-07-01
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-02
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-02
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-02
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-02
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-02
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-02
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-02
Producer Prices,130.21,130.73,points,May 2025,2025-07-02
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-03
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-03
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-03
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-03
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-03
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-03
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-03
Producer Prices,130.21,130.73,points,May 2025,2025-07-03
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-04
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-04
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-04
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-04
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-04
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-04
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-04
Producer Prices,130.21,130.73,points,May 2025,2025-07-04
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-05
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-05
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-05
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-05
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-05
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-05
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-05
Producer Prices,130.21,130.73,points,May 2025,2025-07-05
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-06
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-06
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-06
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-06
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-06
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-06
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-06
Producer Prices,130.21,130.73,points,May 2025,2025-07-06
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-07
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-07
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-07
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-07
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-07
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-07
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-07
Producer Prices,130.21,130.73,points,May 2025,2025-07-07
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-08
Core Consumer Prices,115.58,115.42,points,May 2025,2025-07-08
Core Inflation Rate,2.28,2.3,percent,May 2025,2025-07-08
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-08
