Entidad,"Tasa de Rendimiento Efectivo Anual (TREA)
(%)",DEPARTAMENTO,TIPO_DE_PRODUCTO,PRODUCTO,CONDICION,FECHA,TREA (US$ 1000),TREA (US$ 3000),TREA (US$ 10000),TREA (S/. 1000),TREA (S/. 3000),TREA (S/. 10000),TREA Mínima S/,TREA Máxima S/,TREA Mínima US$,TREA Máxima US$,"Tasa de Rendimiento
Efectivo Anual
(TREA) (%)",Tasa de Rendimiento Efectivo Anual (TREA) (%)
CMAC TACNA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.8,
BN. SANTANDER CONS.,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.8,
BANCOM,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.75,
CMAC CUSCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.6,
ALFIN BANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,2.5,
CMAC AREQUIPA,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.7,
BANBIF,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.4,
BANCO GNB,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.25,
MIBANCO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,1.15,
INTERBANK,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
SCOTIABANK PERU,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.5,
BANCO DE CREDITO,,AREQUIPA,DEPOSITOS,PLAZO FIJO EN SOLES,DEPOSITOS A PLAZO POR S/. 20 000 A 360 DIAS,30-01-2026,,,,,,,,,,,0.25,
CMAC AREQUIPA,0.25,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
MIBANCO,0.25,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
INTERBANK,0.2,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO DE CREDITO,0.1,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
FINANC. PROEMPRESA,0.1,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC CUSCO,0.01,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BBVA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO PICHINCHA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC ICA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO PICHINCHA,2.25,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC PIURA,0.15,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC AREQUIPA,0.15,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
FINANC. PROEMPRESA,0.1,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC HUANCAYO,0.1,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CRAC LOS ANDES,0.08,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
FINANCIERA CONFIANZA,0.01,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
COMPARTAMOS BANCO,0.01,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO DE CREDITO,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BBVA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BN. SANTANDER CONS.,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
INTERBANK,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC ICA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
MIBANCO,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN DOLARES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BN. SANTANDER CONS.,4.6,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
FINANC. PROEMPRESA,1,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
MIBANCO,1,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
INTERBANK,0.5,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC AREQUIPA,0.3,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC CUSCO,0.3,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO DE CREDITO,0.25,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC ICA,0.2,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO PICHINCHA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BBVA,-9.6,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES CON COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
FINANCIERA EFECTIVA,4.5,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO PICHINCHA,4,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
COMPARTAMOS BANCO,3.5,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CRAC LOS ANDES,2,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
FINANC. PROEMPRESA,1,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
FINANCIERA CONFIANZA,0.75,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC TRUJILLO,0.6,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC PIURA,0.35,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC HUANCAYO,0.3,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC AREQUIPA,0.3,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO DE CREDITO,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BBVA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BN. SANTANDER CONS.,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
INTERBANK,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
CMAC ICA,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
MIBANCO,0,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,CUENTA DE AHORRO EN NUEVOS SOLES SIN COBRO DE MANTENIMIENTO,30-01-2026,,,,,,,,,,,,
BANCO PICHINCHA,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0.6,0.6,0.6,,,,,,,,,
CMAC AREQUIPA,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0.25,0.25,0.25,,,,,,,,,
MIBANCO,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0.25,0.25,0.25,,,,,,,,,
INTERBANK,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0.2,0.2,0.2,,,,,,,,,
BANCO DE CREDITO,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0.12,0.12,0.12,,,,,,,,,
FINANC. PROEMPRESA,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0.1,0.1,0.1,,,,,,,,,
BBVA,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0.05,0.05,0.05,,,,,,,,,
CMAC DEL SANTA,,AYACUCHO,DEPOSITOS,AHORRO PERSONAS NATURALES,RENDIMIENTO DE CUENTAS DE AHORRO EN DOLARES CON COBRO DE MANTENIMIENTO,30-01-2026,0,0,0,,,,,,,,,
