Fecha,Indicadores de riesgo para países emergentes: EMBIG - Diferencial de Rendimientos del Índice de Bonos de Mercados Emergentes (EMBIG) - Perú,fecha_carga
Abr22,187,2025-06-11
May22,218,2025-06-11
Jun22,214,2025-06-11
Jul22,235,2025-06-11
Ago22,211,2025-06-11
Sep22,225,2025-06-11
Oct22,243,2025-06-11
Nov22,203,2025-06-11
Dic22,196,2025-06-11
Ene23,207,2025-06-11
Feb23,192,2025-06-11
Mar23,204,2025-06-11
Abr23,202,2025-06-11
May23,197,2025-06-11
Jun23,181,2025-06-11
Jul23,169,2025-06-11
Ago23,167,2025-06-11
Sep23,169,2025-06-11
Oct23,180,2025-06-11
Nov23,175,2025-06-11
Dic23,162,2025-06-11
Ene24,170,2025-06-11
Feb24,160,2025-06-11
Mar24,153,2025-06-11
Abr24,154,2025-06-11
May24,156,2025-06-11
Jun24,161,2025-06-11
Jul24,159,2025-06-11
Ago24,170,2025-06-11
Sep24,163,2025-06-11
Oct24,154,2025-06-11
Nov24,155,2025-06-11
Dic24,154,2025-06-11
Ene25,157,2025-06-11
Feb25,158,2025-06-11
Mar25,163,2025-06-11
Abr25,178,2025-06-11
May25,159,2025-06-11
Ago06,173,2025-06-12
Sep06,172,2025-06-12
Oct06,148,2025-06-12
Nov06,147,2025-06-12
Dic06,131,2025-06-12
Ene07,122,2025-06-12
Feb07,127,2025-06-12
Mar07,132,2025-06-12
Abr07,118,2025-06-12
May07,110,2025-06-12
Jun07,104,2025-06-12
Jul07,129,2025-06-12
Ago07,169,2025-06-12
Sep07,156,2025-06-12
Oct07,138,2025-06-12
Nov07,175,2025-06-12
Dic07,174,2025-06-12
Ene08,195,2025-06-12
Feb08,209,2025-06-12
Mar08,222,2025-06-12
Abr08,182,2025-06-12
May08,154,2025-06-12
Jun08,160,2025-06-12
Jul08,198,2025-06-12
Ago08,195,2025-06-12
Sep08,255,2025-06-12
Oct08,500,2025-06-12
Nov08,484,2025-06-12
Dic08,523,2025-06-12
Ene09,463,2025-06-12
Feb09,419,2025-06-12
Mar09,409,2025-06-12
Abr09,360,2025-06-12
May09,292,2025-06-12
Jun09,258,2025-06-12
Jul09,274,2025-06-12
Ago09,240,2025-06-12
Sep09,226,2025-06-12
Oct09,195,2025-06-12
Nov09,190,2025-06-12
Dic09,179,2025-06-12
Ene10,178,2025-06-12
Feb10,200,2025-06-12
Mar10,158,2025-06-12
Abr10,144,2025-06-12
May10,202,2025-06-12
Jun10,207,2025-06-12
Jul10,187,2025-06-12
Ago10,157,2025-06-12
Sep10,167,2025-06-12
Oct10,157,2025-06-12
Nov10,152,2025-06-12
Dic10,157,2025-06-12
Ene11,146,2025-06-12
Feb11,146,2025-06-12
Mar11,157,2025-06-12
Abr11,193,2025-06-12
May11,187,2025-06-12
Jun11,192,2025-06-12
Jul11,171,2025-06-12
Ago11,200,2025-06-12
Sep11,237,2025-06-12
Oct11,232,2025-06-12
Nov11,214,2025-06-12
Dic11,216,2025-06-12
Ene12,219,2025-06-12
Feb12,199,2025-06-12
Mar12,166,2025-06-12
Abr12,164,2025-06-12
May12,181,2025-06-12
Jun12,188,2025-06-12
Jul12,163,2025-06-12
Ago12,133,2025-06-12
Sep12,124,2025-06-12
Oct12,108,2025-06-12
Nov12,123,2025-06-12
Dic12,117,2025-06-12
Ene13,110,2025-06-12
Feb13,127,2025-06-12
Mar13,140,2025-06-12
Abr13,133,2025-06-12
May13,134,2025-06-12
Jun13,180,2025-06-12
Jul13,176,2025-06-12
Ago13,191,2025-06-12
Sep13,183,2025-06-12
Oct13,173,2025-06-12
Nov13,183,2025-06-12
Dic13,177,2025-06-12
Ene14,176,2025-06-12
Feb14,182,2025-06-12
Mar14,167,2025-06-12
Abr14,154,2025-06-12
May14,149,2025-06-12
Jun14,145,2025-06-12
Jul14,146,2025-06-12
Ago14,157,2025-06-12
Sep14,150,2025-06-12
Oct14,170,2025-06-12
Nov14,165,2025-06-12
Dic14,182,2025-06-12
Ene15,201,2025-06-12
Feb15,183,2025-06-12
Mar15,184,2025-06-12
Abr15,177,2025-06-12
May15,166,2025-06-12
Jun15,177,2025-06-12
Jul15,187,2025-06-12
Ago15,217,2025-06-12
Sep15,234,2025-06-12
Oct15,226,2025-06-12
Nov15,219,2025-06-12
Dic15,237,2025-06-12
Ene16,267,2025-06-12
Feb16,282,2025-06-12
Mar16,227,2025-06-12
Abr16,210,2025-06-12
May16,208,2025-06-12
Jun16,210,2025-06-12
Jul16,184,2025-06-12
Ago16,170,2025-06-12
Sep16,162,2025-06-12
Oct16,147,2025-06-12
Nov16,168,2025-06-12
Dic16,165,2025-06-12
Ene17,157,2025-06-12
Feb17,152,2025-06-12
Mar17,141,2025-06-12
Abr17,149,2025-06-12
May17,141,2025-06-12
Jun17,144,2025-06-12
Jul17,142,2025-06-12
Ago17,155,2025-06-12
Sep17,144,2025-06-12
Oct17,140,2025-06-12
Nov17,139,2025-06-12
Dic17,136,2025-06-12
Ene18,117,2025-06-12
Feb18,132,2025-06-12
Mar18,147,2025-06-12
Abr18,145,2025-06-12
May18,158,2025-06-12
